"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_0374",18.94,16.06,19.49,20.01,2.87,2.35
"SL1344_0375",9.27,9.55,3.54,4.22,1.06,0.84
"SL1344_0376",0.44,0.8,1.01,0.99,2.83,1.35
"SL1344_0377",1,1.12,0.48,0.53,0.46,0.25
"SL1344_0378",19.3,20.51,57.01,67.09,8.51,4.31
"STnc4150",12.75,12.04,18.66,15.05,21.1,4.15
"SL1344_0379",1.21,1.71,16.2,19.24,18.76,20.85
"SL1344_0380",2.21,2.11,2.09,2.58,1.82,0.98
"SL1344_0381",4.32,4.06,2.63,2.76,0.31,0.15
"SL1344_0382",5.74,4.98,1.17,1.61,0.42,0.19
"SL1344_0383",7.21,8.12,2.61,3.75,0.48,0.21
"SL1344_0384",16.86,13.86,22.84,20.78,52,18.9
"SL1344_0385",4.97,4.23,3.13,3.78,1.71,1.12
"SL1344_0386",16.9,18.39,10.57,12.73,2.38,1.24
"SL1344_0387",10.56,12.41,2.97,3.36,0.26,0.16
"SL1344_0388",2.99,2.38,2,1.99,0.55,0.19
"SL1344_0389",2.67,2.56,0.96,1.02,0.22,0.15
"SL1344_0390",2.94,2.62,0.64,0.76,0.06,0.03
"SL1344_0391",3.57,4.21,0.96,1.31,0.05,0.03
"SL1344_0392",11.11,11.34,4.57,6.42,0.68,0.39
"SL1344_0393",4.76,4.15,1.56,2.59,0.16,0.08
"SL1344_0394",15.64,16.7,4.32,4.78,0.54,0.5
"SL1344_0395",4.78,4.95,1.45,1.67,0.3,0.2
"SL1344_0396",1.88,1.69,0.57,0.63,0.16,0.11
"SL1344_0397",64.94,65.7,21.22,14.19,0.45,0.4
"SL1344_0398",10.23,10.35,6.69,7.17,0.96,0.71
"SL1344_0399",11.14,11.07,1.44,1.68,0.1,0.06
"SL1344_0400",29.04,29.53,7.48,7.88,0.46,0.32
"SL1344_0401",92.63,94.46,30.22,32.27,0.37,0.64
"SL1344_0402",38.3,38.45,11.64,12.97,0.58,0.47
"SL1344_0403",23.93,26.19,5.37,5.96,0.26,0.24
"SL1344_0404",3.04,2.64,1.07,1.38,0.21,0.11
"SL1344_0405",1.42,1.62,0.89,0.92,0.16,0.13
"SL1344_0406",9.45,10.79,5.72,5.13,0.64,0.39
"SL1344_ncRNA_8",166.38,163.6,351.95,292.68,259.32,127.4
"STnc1060",166.38,163.6,351.95,292.68,259.32,127.4
"SL1344_0407",64.72,66.96,9.46,11,0.42,0.26
"SL1344_0408",1.82,1.84,1.79,1.81,0.87,0.35
"SL1344_0409",34.24,31.53,13.15,13.33,2.16,1.04
"SL1344_0410",14.1,13.47,4.8,6.27,0.35,0.21
"SL1344_0411",51.63,48.07,10.46,12.94,1.5,0.75
"SL1344_0412",74.73,76.26,25.9,24.94,3.3,1.85
"SL1344_0413",10.17,9.87,2.44,2.81,0.15,0.09
"SL1344_0414",7.33,8.9,2.8,2.92,0.62,0.28
"SL1344_0415",4.36,4.25,2.33,2.97,0.93,0.64
"SL1344_0416",9.9,10.04,3.42,4.31,0.16,0.14
"SL1344_0417",12.95,14.03,4.7,6.91,1.15,0.66
"SL1344_0418",17.69,19.96,11.28,13.72,3.04,1.76
"SL1344_0419",10.26,9.94,1.59,2.13,0.45,0.21
"SL1344_0420",1.56,1.57,0.3,0.37,0.12,0.09
"SL1344_0421",0.39,0.42,0.15,0.13,0.12,0.04
"SL1344_0422",0.68,0.52,0.31,0.26,0.18,0.07
"SL1344_0423",1.01,1.08,0.52,0.46,0.22,0.09
"SL1344_0424",2.05,1.85,1.01,0.87,0.14,0.1
"SL1344_0425",0.21,0.17,0.13,0.16,0.1,0.03
"SL1344_0426",0.51,0.58,0.12,0.39,0.04,0.08
"SL1344_0427",5.35,5.25,3.33,3.97,1.14,0.9
"SL1344_0428",5.23,5.78,2.86,3.11,1.42,0.68
"SL1344_0429",71.24,67.66,15.64,13.97,4.66,2.24
"SL1344_0430",6.89,7.64,2.42,3.56,0.42,0.28
"SL1344_0430A",1.62,2.45,1.81,1.92,9.45,4.87
"SL1344_0431",1.4,1.72,0.9,1.12,1.72,0.5
"SL1344_0432",3.33,3.82,1.25,1.48,0.27,0.14
"SL1344_0433",115.63,110.88,32.55,31.56,1.77,1.28
"SL1344_0434",125.25,123.06,37.26,34.26,2.12,1.72
"SL1344_0435",86.78,84.97,19.42,15.69,1.43,1.25
"SL1344_0436",73.26,74.59,16.11,9.26,0.87,0.6
"SL1344_0437",129.81,133.46,42.02,19.94,4.21,2.03
"SL1344_0438",7.19,7.19,1.27,1.96,0.13,0.11
"SL1344_0439",14.48,14.96,5.17,5.26,1.09,0.52
"SL1344_0440",33.72,36.91,47.97,48.01,23.43,19.46
"SL1344_0441",129.39,127.26,25.88,27.68,0.58,0.46
"SL1344_0442",36.85,34.9,16.53,18.46,5.67,3.36
"SL1344_0443",64.6,64.49,26.81,35.27,6.11,4.73
"SL1344_ncRNA_9",71.68,57.29,33.61,59.54,18.54,22.15
"SraA",94.39,81.41,28.98,35.94,11.47,12.01
"SL1344_0444",52.54,54.07,8.53,9.68,1.69,1.01
"SL1344_0445",342.94,358.17,346,443.08,5,4.19
"SL1344_0446",20.41,20.27,5.86,7.41,0.35,0.22
"SL1344_0447",1.04,1.18,0.61,0.55,0.21,0.03
"SL1344_0448",5.19,3.73,2.32,2.75,0.44,0.26
"SL1344_0449",8.6,8.84,3.5,3.65,0.71,0.44
"SL1344_0450",1.29,1.06,0.9,0.75,0.52,0.23
"SL1344_0451",1.99,2.1,1.21,1.36,2.04,1.11
"SL1344_ncRNA_10",11.45,11.53,6.41,7.82,15.67,8.82
"STnc930",11.45,11.53,6.41,7.82,15.67,8.82
"SL1344_0452",1.84,1.65,0.88,0.79,0.4,0.16
"SL1344_0453",5.7,7.27,4.41,4.07,36.96,15.41
"SL1344_0454",3.24,3.25,1.44,2.02,0.88,0.39
"SL1344_0455",2.78,2.84,1.34,1.43,0.14,0.07
"SL1344_0456",2.06,2.39,0.03,0.08,0,0.06
"SL1344_0457",3.6,3.12,0.63,0.67,0.17,0.08
"SL1344_0458",4.69,4.73,2.01,1.85,1.13,0.47
"SL1344_0459",4.23,4.67,14.3,22.43,4.22,4.56
"SL1344_0460",8.63,8.03,9.73,11.08,4.27,3.12
"SL1344_0461",5.04,6.04,2.19,2.67,0.89,0.56
"SL1344_0462",4.37,4.1,3.13,2.53,24.74,7.39
"SL1344_0463",12.64,16.77,14.9,12.26,41.59,15.63
"SL1344_0464",10.12,10.24,11.3,7.02,3.7,1.4
"SL1344_0465",19.38,21.07,8.02,10.07,22.37,10.79
"SL1344_0466",59.48,60.26,17.19,18.87,61.78,28.04
"SL1344_0467",50.41,53.48,26.49,27.18,81.35,46.79
"SL1344_0468",16.81,16.72,5.47,6.39,0.45,0.29
"SL1344_0469",16.48,15.84,6.6,9.56,0.64,0.47
"SL1344_0470",21.34,19.82,14.39,14.78,12.41,4.23
"SL1344_0471",5.87,5.58,1.67,2.03,0.2,0.14
"SL1344_0472",4.54,4.99,2.41,3.1,0.57,0.37
"SL1344_0473",4.01,4.19,2.27,1.83,0.19,0.05
"SL1344_0474",2.86,2.73,1.67,1.61,0.2,0.3
"SL1344_0476",14.83,13.99,4.65,5.73,0.26,0.17
"SL1344_0477",20.13,19.63,6.81,7.87,1.49,0.89
"SL1344_0478",23.15,20.94,5.87,6.16,0.47,0.2
"SL1344_0479",39.53,41.49,7.38,7.56,0.26,0.33
"SL1344_0480",105.36,106.59,6.32,6.39,0.37,0.18
"STnc3130",107.91,104.33,33.55,37.5,18.11,10.36
"SL1344_0481",33.09,35.1,8.48,12,0.6,0.51
"SL1344_0482",7.15,6.2,3.52,3.99,2.97,0.84
"SL1344_0483",2.42,2.25,1.19,1.37,0.21,0.17
"SL1344_0484",7.86,7.33,1.74,2.3,0.37,0.25
"SL1344_0485",8.51,7.95,8.21,9.01,1.04,0.61
"SL1344_0486",1.95,2.09,0.94,0.83,0.33,0.15
"SL1344_0487",6.72,7.04,7.38,7.02,0.54,0.25
"SL1344_0488",13.65,14.94,9.11,8.11,0.71,0.55
"ChiX",5387.89,5482.5,7713.34,10681.62,9184.02,6689.85
"SL1344_ncRNA_11",5387.89,5482.5,7713.34,10681.62,9184.02,6689.85
"SL1344_0489",11.86,13.45,15.26,1353.12,12.35,736.35
"SL1344_0490",1.72,1.67,0.79,0.81,1.4,0.57
"SL1344_0491",3.36,3.39,1.71,2.56,0.22,0.18
"SL1344_0492",8.82,9.38,7.12,9.27,0.72,0.69
"SL1344_0493",4,5.58,3.24,3.28,0.68,0.36
"SL1344_0494",3.39,3.01,2.42,2.38,1.01,0.64
"SL1344_0495",2.79,2.92,1.19,1.03,2.22,0.39
"SL1344_0496",4.88,4.92,1.76,1.79,0.78,0.41
"SL1344_0497",22.05,22.3,3.86,3.76,0.4,0.37
"SL1344_0498",4.06,3.86,2.02,2.66,0.37,0.15
"SL1344_0499",6.11,6.7,3.93,4.02,1.99,1.13
"SL1344_0500",1.62,1.97,1.31,1.54,0.24,0.13
"SL1344_0501",1.47,1.3,1.9,1.75,0.82,0.41
"STnc950",15.44,12.54,42.26,34.09,15.95,10.61
"SL1344_0502",4.32,4.05,1.83,1.92,0.7,0.27
"SL1344_0503",1.5,2.04,0.69,1.03,0.14,0.15
"SL1344_0504",1.22,1.51,0.57,0.74,0.16,0.06
"SL1344_0505",2.47,2.85,1.66,1.67,0.13,0.15
"SL1344_0506",4.66,4.88,2.66,2.99,0.84,0.27
"SL1344_0507",1.23,0.73,0.48,0.62,0.27,0.16
"SL1344_0508",2.09,2.32,2.95,3.9,0.51,0.26
"SL1344_0509",4.52,5.19,3.55,4.11,0.37,0.2
"SL1344_0510",0.31,0.38,0.31,0.29,0.04,0.02
"SL1344_0511",0.6,0.34,0.62,0.75,0.38,0.2
"SL1344_0512",0.35,0.47,0.42,0.52,0.09,0.02
"SL1344_0513",0.33,0.33,0.35,0.31,0.8,0.34
"SL1344_0515",0.04,0.11,0.18,0.14,0.29,0.14
"SL1344_0516",0.23,0.11,0.42,0.42,0.07,0.05
"SL1344_0517",0.4,0.26,0.23,0.24,0.16,0.06
"SL1344_0518",0.23,0.3,0.18,0.17,0.07,0.04
"STnc480",27.86,35.57,75.33,87.4,35.02,43.44
"SL1344_0519",2.31,2.12,1.94,1.65,0.56,0.35
"SL1344_0520",0.42,0.46,0.48,0.41,0.04,0.03
"SL1344_0521",0.69,0.92,0.58,0.51,0.09,0.07
"SL1344_0522",0.25,0.19,0.3,0.48,0.05,0.03
"SL1344_0523",0.14,0.04,0.04,0.04,0.05,0.02
"SL1344_0524",0.16,0.26,0.12,0.08,0.01,0
"SL1344_0525",1.16,0.79,0.49,0.33,0.09,0.02
"SL1344_0526",8.12,8.16,4.45,2.99,0.17,0.14
"SL1344_0527",9.19,8.49,4.12,3.06,0.18,0.09
"SL1344_0528",16.51,16.16,5.97,9.05,1.6,0.96
"SL1344_0529",73.3,76.51,25.56,29.08,2.77,1.88
"SL1344_0530",16.72,16.35,4.45,5.49,1.08,0.61
"SL1344_0531",2.13,2.21,0.63,1.66,0.23,0.25
"SL1344_0532",1.12,1.13,0.7,0.75,0.4,0.1
"SL1344_0533",1.71,1.1,0.4,0.55,0.22,0.12
"SL1344_0534",19.58,25.22,9.76,11.46,0.77,0.55
"SL1344_0535",16.19,17.12,5.36,5.49,0.66,0.32
"SL1344_0536",0.91,0.82,2.24,3.23,0.76,0.45
"SL1344_0537",0.44,0.24,0.31,0.65,0.16,0.05
"SL1344_0538",0.11,0,0.2,0.38,0.07,0.04
"SL1344_0539",0.31,0.31,0.23,0.3,0.04,0.04
"SL1344_0540",0.82,0.67,0.39,0.31,0.25,0.06
"SL1344_0541",2.3,1.51,1.76,1.51,0.82,0.44
"SL1344_0542",0.41,0.41,0.6,0.85,0.43,0.11
"SL1344_0543",0.82,0.79,0.75,1.24,7.16,3.49
"SL1344_0544",0.66,1.09,0.35,0.57,0.25,0.12
"SL1344_0545",0.91,1,1.08,1.15,1.25,0.49
"SL1344_tRNA_6",814.04,843.07,650.44,572.39,487.63,463.81
"SL1344_0546",0.8,1.52,0.75,0.68,1.39,0.48
"SL1344_0547",31.19,33.07,0.51,1.93,0.83,0.3
"SL1344_0548",33.89,32.58,0.94,3.31,0.27,0.13
"SL1344_0549",48.01,46.56,0.99,5.26,0.31,0.11
"STnc1870",3.06,3.32,0.4,0.81,3.15,0.92
"SL1344_0550",3.37,3.71,3.23,4.44,1.88,1.1
"SL1344_0550A",2.84,2.64,3.17,3.19,0.5,0.25
"SL1344_0551",1.09,0.98,0.61,0.97,0.18,0.09
"SL1344_0552",0.8,0.73,0.52,0.73,1.39,0.59
"SL1344_0553",0.87,0.77,0.41,0.4,2.92,0.49
"SL1344_0554",1.11,0.98,0.37,0.62,1.65,0.43
"SL1344_0555",7.16,7.74,4.3,5.29,1.21,0.55
"SL1344_0556",11.38,13.16,3.46,3.35,0.71,0.5
"SL1344_0557",4.14,3.99,2.31,2.34,0.34,0.23
"SL1344_0558",1.02,1.05,1.71,1.72,1.03,0.36
"SL1344_0559",1.02,1.24,1.55,1.7,0.57,0.31
"SL1344_0560",0.37,0.55,0.32,0.27,0.05,0.04
"SL1344_0561",0.22,0.37,0.1,0.17,0.04,0.04
"SL1344_0562",0.27,0.21,0.1,0.06,0.05,0.01
"SL1344_0563",0.12,0.15,0.08,0.17,0.13,0.07
"SL1344_0564",0.11,0,0.16,0.16,0.06,0.05
"SL1344_0565",0.4,0.46,0.22,0.38,0.13,0.07
"SL1344_0566",7.96,7.14,3.64,3.84,0.43,0.34
"SL1344_0567",2.32,2.97,1.71,1.48,0.11,0.08
"SL1344_0568",4.81,4.21,2.92,2.89,0.95,0.42
"SL1344_0569",4.09,4.8,2.7,2.73,0.69,0.44
"SL1344_0570",4.78,5.34,3.41,3.15,0.97,0.53
"SL1344_0571",0.56,0.44,0.76,1.04,1.42,0.74
"SL1344_0572",1.21,1.15,0.9,0.98,1.26,0.5
"SL1344_0573",1.73,1.82,0.32,0.34,0.54,0.3
"SL1344_0574",2.77,2.77,0.07,0.04,22.64,9.8
"SL1344_0575",2.6,4.41,0,0.06,0.27,0.17
"SL1344_0576",1.93,1.78,0.18,0.14,0.27,0.18
"SL1344_0577",6.04,5.62,2.01,2.17,0.74,0.4
"SL1344_0578",5.51,5.41,0.44,0.59,0.21,0.07
"SL1344_0579",3.82,3.82,0.16,0.15,0.05,0.05
"SL1344_0580",7.27,6.34,0.11,0.09,12.89,5.6
"SL1344_0581",5.7,5.07,0.31,0.26,0.89,0.39
"SL1344_0582",5.09,4.09,0.48,0.53,17.1,8.23
"SL1344_0583",2.33,2.33,0.13,0.16,0.11,0.05
"SL1344_0584",2.93,2.7,0.21,0.19,0.06,0.04
"SL1344_0585",1.75,1.22,0.11,0.11,0.06,0.02
"SL1344_0586",2.23,2.28,0.29,0.2,0.05,0.01
"SL1344_0587",2.19,1.57,0.26,0.16,0.06,0.03
"SL1344_0588",3.21,3.34,21.12,16.36,4,1.97
"SL1344_0589",5.23,4.08,13.19,11.4,2.7,2.52
"SL1344_0590",1.24,1.6,2.93,2.43,1.8,1.09
"SL1344_0591",1.43,1.57,0.98,0.9,0.53,0.26
"SL1344_0592",2.39,1.9,2.13,2.46,1.26,0.51
"SL1344_0593",1.99,1.58,1.65,1.8,1.81,0.77
"SL1344_0594",2.64,1.85,1.78,1.87,2.15,0.9
"STnc3180",5.94,5.02,4.89,6.44,2.04,1.66
"SL1344_0595",2.11,2.13,2.45,2.54,1.4,0.65
"STnc070",419.99,438.41,233.34,269.33,15.81,18.23
"SL1344_0596",70.62,74.73,22.76,24.28,1.05,0.96
"SL1344_0597",6.57,7.94,2.31,2.36,0.36,0.16
"SL1344_0598",0.42,0.28,0.06,0.07,0.26,0.1
"SL1344_0599",0.23,0.38,0.17,0.25,0.09,0.04
"SL1344_0600",0.7,0.47,0.31,0.33,0.07,0.02
"SL1344_0601",2.56,2.68,2.14,2.32,0.81,0.35
"SL1344_0602",35.26,37.27,50.62,44.96,12.45,6.32
"SL1344_0603",0.48,0.46,0.54,0.76,0.66,0.38
"SL1344_0604",6.36,6.79,6.01,7.43,0.97,0.72
"sRNA10",19.15,22.82,22.44,26.99,55.98,35.19
"SL1344_ncRNA_12",19.68,23.21,21.65,26.05,53.74,33.79
"SL1344_0605",9.69,10.28,6.75,5.83,1.06,0.45
"SL1344_0606",1.33,1.26,0.41,0.41,0.19,0.09
"SL1344_0607",0.58,0.32,0.57,0.54,4.32,2.11
"SL1344_0608",0.05,0.05,0.14,0.06,0.02,0.01
"SL1344_0609",0.07,0.09,0.04,0.04,0.01,0.01
"SL1344_0610",0.68,0.55,0.2,0.26,0.01,0.01
"SL1344_0611",0.26,0.18,0.11,0.02,0.09,0
"SL1344_0612",0.12,0.17,0.14,0.08,0.12,0.03
"SL1344_0613",0.45,0.53,0.62,0.67,0.16,0.07
"SL1344_0614",1.37,1.57,1.25,1.59,0.28,0.24
"STnc3550",3.35,3.9,4.44,4.96,2.35,1.7
"SL1344_0615",0.93,0.92,0.77,1.09,0.34,0.16
"SL1344_0616",23.37,21.58,6.42,10.46,1.57,0.39
"SL1344_0617",1357.52,1413.06,373.8,579.67,139.49,172.38
"SL1344_0618",13.62,13.18,6.74,4.9,3.42,1.72
"SL1344_0619",1.15,0.99,1.16,1.3,0.36,0.17
"SL1344_0620",10.54,11.63,10.99,22.53,1.38,1.26
"SL1344_0621",31.15,31.72,4.87,5.18,0.18,0.14
"SL1344_0622",2.71,2.73,2.38,2.69,5.87,2.11
"SL1344_0623",9.48,9.55,1.66,2.43,0.28,0.22
"SL1344_0624",85.4,81.59,30.3,27.31,4.86,2.87
"SL1344_0625",20.9,21.43,3.82,5.47,0.36,0.28
"SL1344_0626",10.72,11.33,3.36,3.56,0.44,0.26
"SL1344_0627",9.33,7.62,2.22,2.08,0.59,0.3
"SL1344_0628",9.48,8.69,2.24,2.48,0.26,0.1
"SL1344_0629",14.72,14.43,2.3,3.83,0.01,0.01
"SL1344_0630",15.64,12.88,2.67,3.77,0.14,0.09
"SL1344_0631",2.34,2.44,1.52,1.89,0.28,0.2
"SL1344_0632",1.92,1.88,1.36,1.78,0.34,0.18
"SL1344_0633",5.04,5.24,2.1,2.25,0.07,0.08
"SL1344_0634",12.65,12.76,3.1,3.23,0.56,0.28
"SL1344_0635",26.99,27.23,11.25,12.48,3.31,1.75
"SL1344_0636",14.06,13.65,4.36,5.32,1.21,0.58
"SL1344_0637",0.27,0.09,0.22,0.26,0.36,0.11
"SL1344_0638",0.62,0.53,0.32,0.24,0.18,0.06
"SL1344_0639",1.96,1.86,2.47,2.65,1.31,0.81
"SL1344_0640",4.63,4.18,2.93,3.08,0.85,0.42
"SL1344_0641",6.01,4.9,15.54,16.46,9.92,6.48
"SL1344_0642",2.18,2.25,1.89,2.74,3.64,1.4
"SL1344_0643",0.29,0.26,0.35,0.3,0.45,0.15
"SL1344_0644",0.25,0.27,0.22,0.21,0.07,0.01
"SL1344_0645",0.3,0.3,0.28,0.13,0.12,0.05
"SL1344_0647",0.69,0.78,0.55,0.51,0.43,0.15
"SL1344_0648",0.96,0.96,0.95,1.07,0.91,0.38
"SL1344_0649",2.7,2.17,1.54,1.88,0.59,0.29
"SL1344_0650",2.41,2.01,2.16,2.67,0.26,0.17
"SL1344_0651",2.78,2.51,4.51,3.45,0.36,0.13
"SL1344_0652",3.22,2.86,5.22,3.31,0.93,0.39
"SL1344_0653",1.82,1.72,4.17,1.83,0.48,0.26
"SL1344_ncRNA_13",151.66,162.97,466.13,403.72,389.84,388.22
"SroC",151.66,162.97,466.13,403.72,389.84,388.22
"SL1344_0654",21.74,23.58,73.42,58.3,55.21,43.93
"SL1344_0655",10.28,10.58,3.63,3.54,0.52,0.32
"SL1344_0656",22.75,23.44,7.36,8.92,1.13,0.54
"SL1344_0657",24.31,25.53,9.69,9.91,3.43,1.86
"SL1344_0658",19.94,20.22,7.56,7.4,2.49,1.33
"SL1344_0659",14.01,14.44,2.6,3.41,0.22,0.17
"SL1344_0660",3.15,3.37,2.41,1.95,1.83,0.57
"SL1344_0661",4.23,4.57,2.91,2.51,1.61,0.65
"SL1344_tRNA_7",7380.58,7439.43,6872.28,5610.99,6337.81,6402.79
"SL1344_tRNA_8",7025.56,6898.6,7032,5594.51,6462.33,6494.23
"SL1344_tRNA_9",2333.62,2296.95,3269.1,2649,1777.57,1792.66
"SL1344_tRNA_10",4071.38,4146.62,3819.12,2665.86,3175.03,3353.36
"SL1344_tRNA_11",4644.02,4659.56,3825.62,2776.75,3148.09,3400.34
"SL1344_tRNA_12",1609.78,1619.29,1849.04,1706.96,1601.6,996.97
"SL1344_tRNA_13",3590.73,3568.61,3309.38,2783.53,1787.81,1778.51
"STnc3290",4.78,4.15,6.38,8.77,4.08,2.28
"SL1344_0662",2.02,2.3,3.73,3.31,2.32,0.83
"SL1344_0663",7.43,9.21,3.11,3.6,0.95,0.39
"SL1344_0664",7.68,6.71,3.62,4.64,0.97,0.45
"SL1344_0665",8.81,9.24,4.04,5.16,0.57,0.37
"SL1344_0666",7.53,6.54,5.15,5.79,1.19,0.84
"SL1344_0667",5.03,5.58,4.4,5.31,0.32,0.19
"SL1344_0668",22.09,22.25,4.43,5.52,0.44,0.28
"STnc3300",8,10.91,9.79,12.77,16.38,4.39
"SL1344_0669",0.98,0.91,5.02,6.02,0.25,0.22
"SL1344_0670",2.1,2.11,8.17,9.79,1,0.8
"SL1344_0671",0.97,1.06,1.59,1.91,1.39,0.61
"SL1344_0672",0.16,0.14,0.16,0.16,0.02,0.03
"SL1344_0673",0.74,0.35,0.53,0.43,0.16,0.07
"SL1344_0674",3.88,3.43,1.11,1.4,0.89,0.48
"SL1344_0675",62.94,71.11,25.82,42.63,4.86,7.08
"sRNA9",107.05,113.02,39.89,36.82,4.24,2.48
"SL1344_0676",50.43,51.67,17.91,16.71,1.87,1.81
"SL1344_0677",22.68,25.34,2.16,3.48,0.21,0.14
"SL1344_0678",5.31,5.34,1.86,1.82,0.29,0.1
"SL1344_0679",21.46,23.34,9.88,10.62,5.44,2.98
"SL1344_0680",19.13,19.07,7.61,9.72,1.05,0.82
"SL1344_0681",2.13,1.07,1.19,1.49,0.95,0.25
"SL1344_0682",0.55,0.53,0.77,1.12,0.06,0.03
"SL1344_0683",0.57,0.58,0.91,1.34,0.04,0.02
"SL1344_0684",4.28,2.77,1.85,2.18,0.35,0.32
"SL1344_0685",1.64,1.21,0.92,0.93,0.2,0.1
"SL1344_0686",0.75,0.89,0.48,0.41,0.08,0.04
"SL1344_0687",0.27,0.22,0.1,0.11,0.04,0.02
"SL1344_0688",0.09,0.23,0.06,0.04,0.07,0.03
"SL1344_0688A",0.29,0.87,0.24,0.15,0.51,0.27
"SL1344_0689",5.63,5.29,6.04,11.33,2.62,2.37
"SL1344_0690",1.66,1.85,1.71,1.87,0.84,0.46
"SL1344_0691",1.21,1.07,0.47,0.67,0.39,0.17
"SL1344_0692",7.73,8.38,5.66,4.89,0.74,0.39
"SL1344_0693",4.73,3.85,3.43,3.62,0.21,0.13
"SL1344_0694",2.33,3.1,2.2,2.12,0.13,0.12
"SL1344_0695",3.84,3.48,2.69,2.5,2.99,1.48
"SL1344_0696",2.75,1.19,0.99,2.17,3.12,1.22
"SL1344_0697",5.07,5.43,4.78,4.91,1.26,0.53
"SL1344_0698",0.31,0.23,0.06,0.18,0,0.05
"SL1344_0699",0.1,0.18,0.16,0.19,0.04,0.04
"SL1344_0700",0.13,0.27,0.15,0.13,0.14,0.06
"SL1344_0702",0.23,0.09,0.08,0.07,0.15,0.03
"SL1344_0703",0.14,0.16,0.14,0.08,0.1,0.02
"SL1344_0704",0.37,0.61,0.35,0.22,0.48,0.15
"SL1344_0705",0.22,0.33,0.09,0.22,0.08,0.04
"SL1344_0706",0.41,0.6,0.2,0.31,0.1,0.03
"SL1344_0707",0.25,0.28,0.14,0.12,0.07,0.02
"SL1344_0708",0.2,0.37,0.23,0.26,0.22,0.05
"SL1344_0709",4.13,3.97,3.39,2.62,1.7,0.96
"SL1344_0710",2.88,3.52,1.47,1.87,0.16,0.12
"SL1344_0711",1.61,1.81,1.05,1.35,0.34,0.13
"SL1344_0712",19.26,21.04,22.57,24.44,2.06,1.19
"SL1344_0713",49.85,49.08,77.12,61.13,35.2,10.59
"SL1344_0714",21.52,21.33,43.94,34.02,2.11,1.28
"SL1344_0715",23.96,24.13,40.96,30.57,1.07,0.64
"SL1344_0716",17.54,16.58,20.84,18.73,0.5,0.35
"SL1344_0717",33.92,34.99,32.05,35.69,1.24,0.7
"SL1344_0718",46.33,47.36,24.38,30.74,0.48,0.3
"SL1344_0719",57.79,57.6,31.78,42.74,0.62,0.43
"SL1344_0720",48.27,48.25,25.33,34.93,0.35,0.2
"SL1344_0721",67.72,71.05,70.13,89.41,3.35,2.6
"RybD",191.77,195.92,419.78,476.65,32.34,26.08
"SL1344_ncRNA_14",191.77,195.92,419.78,476.65,32.34,26.08
"SL1344_0722",19.94,19.4,31.89,43.03,0.2,0.08
"SL1344_0723",14.36,14.32,27.37,33.94,0.22,0.1
"SL1344_0724",45.89,40.95,89.9,146.18,1.09,0.6
"SL1344_0725",13.22,10.82,22.92,40.69,0.9,0.91
"SL1344_0726",28.9,26.66,5.72,6.99,0.69,0.3
"SL1344_0727",17.86,19.83,3.08,4.81,0.17,0.1
"SL1344_0728",20.83,19.45,3.37,4.5,0.08,0.15
"SL1344_0729",14.39,13.55,3.44,4.18,0.65,0.32
"SL1344_0730",43.78,42.8,16.11,17.51,1.96,1.16
"SL1344_0731",146.9,148.74,71.06,73.48,1.75,1.06
"SL1344_0732",71.26,72.49,24.12,32.01,2.84,1.59
"SL1344_tRNA_14",2138.54,2169.78,2201,2081.33,2326.29,3230.63
"SL1344_tRNA_15",3380.58,3289.86,5607.14,5537.96,4143.95,4937.41
"SL1344_tRNA_16",1702.53,1721.39,2196.68,2032.95,2321.81,3262.02
"SL1344_tRNA_17",1823.86,1846.08,2184.91,2049.11,2351.87,3292.97
"SL1344_tRNA_18",1694.01,1662.44,2188.49,2137.56,2338.63,3434.52
"SL1344_0733",0.99,0.77,0.74,0.63,0.42,0.23
"SL1344_0734",2.41,2.79,3.17,3.59,1.82,0.89
"SL1344_0735",1.41,1.67,2.79,2.9,1.35,0.58
"SL1344_0736",1.2,1.89,6.16,9.8,28.72,30.72
"SL1344_0737",8.95,9.96,5.65,6.97,2.04,1.44
"SL1344_0738",2.32,1.91,1.65,2.01,1.06,0.44
"SL1344_0739",1.62,1.2,1.92,1.9,7.36,3.81
"SL1344_0740",2.41,2.72,3.05,2.79,1.65,0.56
"SL1344_0741",1.23,0.76,0.63,0.79,1.18,0.36
"SL1344_0742",0.06,0.16,0.09,0.16,0.79,0.18
"SL1344_0743",0.32,0,0,0.08,0.11,0.05
"SL1344_0744",0.16,0.13,0.07,0.08,0.02,0
"SL1344_0745",0.08,0.08,0.07,0.06,0.01,0.01
"SL1344_0746",1.33,1.38,1.65,1.24,5.3,2.65
"SL1344_0747",0.48,0.46,0.17,0.22,0.07,0.01
"SL1344_0748",1.17,1.11,0.57,0.61,1.19,0.74
"SL1344_0749",94.99,94.32,26.12,25.75,41.11,20.18
"SL1344_0750",7.89,9.3,4.08,4.68,0.3,0.19
"SL1344_0751",5.52,6.02,2.73,3.6,0.24,0.19
"SL1344_0752",3.09,2.94,1.38,1.54,0.54,0.33
"SL1344_0753",4.05,4.1,3.58,2.94,2.39,1.26
"SL1344_0754",0.34,0.6,0.26,0.29,0.8,0.33
"SL1344_0755",5.83,5.87,3.13,3.33,0.53,0.35
"SL1344_0756",4.73,3.7,1.85,2.24,0.43,0.17
